Data,Valor_Real,Valor_Previsto,Valor_Previsto_SMA
2024-03-12,-0.8706368,-0.8358151,-0.9066269795099894
2024-03-12,-0.70403534,-0.7647959,-0.8337382078170776
2024-03-12,-0.67199665,-0.6621107,-0.7542405525843302
2024-03-12,-0.6399579,-0.5812218,-0.6693761348724365
2024-03-12,-0.4413177,-0.4757305,-0.573021004597346
2024-03-12,-0.409279,-0.38820463,-0.4817189872264862
2024-03-12,-0.14015357,-0.25874436,-0.3742265005906423
2024-03-12,-0.10491096,-0.09662354,-0.24785751104354858
2024-03-12,-0.07287223,-0.009399489,-0.121589129169782
2024-03-12,-0.040833488,0.080834284,-0.00839624802271525
2024-03-12,0.09372921,0.13506201,0.06883226831754048
2024-03-12,0.12576795,0.1996375,0.13851126531759897
2024-03-12,0.25712678,0.26903602,0.20124517877896628
2024-03-12,0.2923694,0.35356054,0.27407802144686383
2024-03-12,0.35644686,0.4150271,0.3458745578924815
2024-03-12,0.42372823,0.47376356,0.41411706805229187
2024-03-12,0.6223684,0.53597724,0.47492263714472455
2024-03-12,0.65440714,0.6170745,0.542271763086319
2024-03-12,0.7537272,0.6770047,0.610018809636434
2024-03-12,0.77615434,0.7383857,0.6774882872899374
2024-03-12,0.7889698,0.76950383,0.7282980680465698
2024-03-12,0.9203287,0.79271424,0.7668679157892863
2024-03-12,0.9523674,0.827116,0.7964446942011515
2024-03-12,-2.184225,-2.093656,-0.15794193744659424
2024-03-12,-2.1489825,-1.9501126,-1.072217543919881
2024-03-12,-2.1169438,-1.8921727,-1.9786471128463745
2024-03-12,-1.8157796,-1.7814909,-1.8745920658111572
2024-03-12,-1.7132556,-1.6755008,-1.783054788907369
2024-03-12,-1.5818968,-1.5996401,-1.6855439345041912
2024-03-12,-1.5466542,-1.479381,-1.5848406155904133
2024-03-12,-1.4793729,-1.4103131,-1.4964447418848674
2024-03-12,-1.447334,-1.3556051,-1.4150997400283813
2024-03-12,-1.3800528,-1.3149405,-1.3602862358093262
2024-03-12,-1.348014,-1.2719938,-1.31417977809906
2024-03-12,-1.3159753,-1.2366145,-1.274516224861145
2024-03-12,-1.248694,-1.1976234,-1.2354105313618977
2024-03-12,-1.1814126,-1.1557643,-1.1966673930486043
2024-03-12,-1.1493739,-1.110587,-1.1546582380930583
2024-03-12,-1.1141312,-1.0741967,-1.1135160128275554
2024-03-12,-0.9827724,-1.0170239,-1.067269206047058
2024-03-12,-0.95073366,-0.96370375,-1.018308122952779
2024-03-12,-0.9186949,-0.88396525,-0.9548976421356201
2024-03-12,-0.7520935,-0.80974364,-0.8858042160669962
2024-03-12,-0.72005475,-0.72090864,-0.8048725128173828
2024-03-12,-0.69442374,-0.63309383,-0.7212487061818441
2024-03-12,-0.45733708,-0.52283525,-0.6256125768025717
2024-03-12,-0.42209446,-0.41958863,-0.5251725713411967
2024-03-12,-0.08568772,-0.2608639,-0.4010959267616272
2024-03-12,0.013632368,-0.055159703,-0.24520407617092133
2024-03-12,0.045671105,0.07225256,-0.08125701546669006
2024-03-12,0.14819507,0.19874737,0.07194674015045166
2024-03-12,0.21227254,0.26898733,0.17999575038750967
2024-03-12,0.2795539,0.33424944,0.26732804377873737
2024-03-12,0.31159264,0.39743719,0.33355798323949176
2024-03-12,0.32120425,0.43948022,0.39038894573847455
2024-03-12,0.32440814,0.46382317,0.4335801899433136
2024-03-12,0.39168948,0.4785979,0.4606337646643321
2024-03-12,0.42372823,0.5055138,0.4826449553171794
2024-03-12,0.5582909,0.546247,0.5101195673147837
2024-03-12,0.59032965,0.60361135,0.551790714263916
2024-03-12,0.61596066,0.6483463,0.5994015534718832
2024-03-12,0.84023184,0.6845119,0.6454898516337076
2024-03-12,0.85945505,0.7436656,0.6921745936075846
2024-03-12,0.8914938,0.7978635,0.7420136531194051
2024-03-12,0.96197903,0.8470032,0.7961774269739786
2024-03-12,-1.9791771,-2.0081913,-0.1211082140604655
2024-03-12,-1.9471384,-1.8328155,-0.998001217842102
2024-03-12,-1.9150996,-1.7785467,-1.8731845219930012
2024-03-12,-1.8798571,-1.6956414,-1.7690012057622273
2024-03-12,-1.8414106,-1.671034,-1.7150740226109822
2024-03-12,-1.6491781,-1.6150337,-1.660569707552592
2024-03-12,-1.6171395,-1.5402158,-1.608761191368103
2024-03-12,-1.5658774,-1.4813175,-1.5455223719278972
2024-03-12,-1.5626736,-1.4253144,-1.4822825988133748
2024-03-12,-1.4953922,-1.3967034,-1.4344451030095418
2024-03-12,-1.4601496,-1.3634756,-1.3951644500096638
